City,Date,Avg_Rent
El Paso,2020-11,1159
Baton Rouge,2020-11,1203
Dayton,2020-11,1086
McAllen,2020-11,931
Columbia,2020-11,1171
Greensboro,2020-11,1125
Akron,2020-11,990
North Port-Sarasota-Bradenton,2020-11,1729
Little Rock,2020-11,1002
Stockton,2020-11,2026
Charleston,2020-11,1450
Syracuse,2020-11,1177
Colorado Springs,2020-11,1541
Winston-Salem,2020-11,1307
Wichita,2020-11,846
Springfield,2020-11,1377
Fort Myers,2020-11,1536
Boise City,2020-11,1423
Toledo,2020-11,1037
Madison,2020-11,1233
Lakeland,2020-11,1410
Ogden,2020-11,1371
Daytona Beach,2020-11,1440
Des Moines,2020-11,1098
Jackson,2020-11,1239
Youngstown,2020-11,827
Augusta,2020-11,1135
Scranton,2020-11,1038
Harrisburg,2020-11,1154
Melbourne,2020-11,1473
Chattanooga,2020-11,1197
Spokane,2020-11,1257
Provo,2020-11,1405
Durham,2020-11,1366
Port St. Lucie,2020-11,1724
Killeen,2020-11,1100
Fort Collins,2020-11,1561
Boulder,2020-11,1880
College Station,2020-11,1226
Gainesville,2020-11,1280
Sierra Vista,2020-11,962
Sebring,2020-11,1016
New York,2020-12,2478
Los Angeles-Long Beach-Anaheim,2020-12,2448
Chicago,2020-12,1652
Dallas-Fort Worth,2020-12,1445
Philadelphia,2020-12,1599
Houston,2020-12,1368
Washington,2020-12,1939
Miami-Fort Lauderdale,2020-12,1994
Atlanta,2020-12,1536
Boston,2020-12,2345
San Francisco,2020-12,2830
Detroit,2020-12,1249
Riverside,2020-12,2074
Phoenix,2020-12,1486
Seattle,2020-12,1842
Minneapolis-St Paul,2020-12,1508
San Diego,2020-12,2419
St. Louis,2020-12,1099
Tampa,2020-12,1540
Baltimore,2020-12,1550
Denver,2020-12,1646
Pittsburgh,2020-12,1192
Portland,2020-12,1599
Charlotte,2020-12,1424
Sacramento,2020-12,1944
San Antonio,2020-12,1235
Orlando,2020-12,1537
Cincinnati,2020-12,1235
Cleveland,2020-12,1186
Kansas City,2020-12,1160
Las Vegas,2020-12,1450
Columbus,2020-12,1246
Indianapolis,2020-12,1237
San Jose,2020-12,2868
Austin,2020-12,1441
Virginia Beach,2020-12,1371
Nashville,2020-12,1470
Providence,2020-12,1577
Milwaukee,2020-12,1071
Jacksonville,2020-12,1375
Memphis,2020-12,1243
Oklahoma City,2020-12,1137
Louisville-Jefferson County,2020-12,1120
Hartford,2020-12,1425
Richmond,2020-12,1340
New Orleans,2020-12,1279
Buffalo,2020-12,1068
Raleigh,2020-12,1408
Birmingham,2020-12,1161
Salt Lake City,2020-12,1328
Rochester,2020-12,1207
Grand Rapids,2020-12,1237
Tucson,2020-12,1285
Urban Honolulu,2020-12,2348
Tulsa,2020-12,1107
Fresno,2020-12,1642
Worcester,2020-12,1546
Stamford,2020-12,2273
Albuquerque,2020-12,1214
Albany,2020-12,1254
Omaha,2020-12,1072
New Haven,2020-12,1642
Bakersfield,2020-12,1399
Knoxville,2020-12,1299
Greenville,2020-12,1250
Ventura,2020-12,2584
Allentown,2020-12,1493
El Paso,2020-12,1154
Baton Rouge,2020-12,1204
Dayton,2020-12,1093
McAllen,2020-12,930
Columbia,2020-12,1172
Greensboro,2020-12,1134
Akron,2020-12,983
North Port-Sarasota-Bradenton,2020-12,1771
Little Rock,2020-12,1007
Stockton,2020-12,2072
Charleston,2020-12,1468
Syracuse,2020-12,1166
Colorado Springs,2020-12,1540
Winston-Salem,2020-12,1299
Wichita,2020-12,845
Springfield,2020-12,1387
Fort Myers,2020-12,1539
Boise City,2020-12,1447
Toledo,2020-12,1052
Madison,2020-12,1237
Lakeland,2020-12,1411
Ogden,2020-12,1368
Daytona Beach,2020-12,1455
Des Moines,2020-12,1089
Jackson,2020-12,1232
Youngstown,2020-12,818
Augusta,2020-12,1141
Scranton,2020-12,1058
Harrisburg,2020-12,1159
Melbourne,2020-12,1485
Chattanooga,2020-12,1194
Spokane,2020-12,1261
Provo,2020-12,1410
Durham,2020-12,1375
Port St. Lucie,2020-12,1734
Killeen,2020-12,1104
Fort Collins,2020-12,1571
Boulder,2020-12,1894
College Station,2020-12,1230
Gainesville,2020-12,1312
Sierra Vista,2020-12,970
Sebring,2020-12,1068
New York,2021-01,2479
Los Angeles-Long Beach-Anaheim,2021-01,2448
Chicago,2021-01,1651
Dallas-Fort Worth,2021-01,1450
Philadelphia,2021-01,1597
Houston,2021-01,1367
Washington,2021-01,1939
Miami-Fort Lauderdale,2021-01,2018
Atlanta,2021-01,1548
Boston,2021-01,2361
San Francisco,2021-01,2834
Detroit,2021-01,1255
Riverside,2021-01,2104
Phoenix,2021-01,1501
Seattle,2021-01,1851
Minneapolis-St Paul,2021-01,1505
San Diego,2021-01,2424
St. Louis,2021-01,1101
Tampa,2021-01,1549
Baltimore,2021-01,1550
Denver,2021-01,1653
Pittsburgh,2021-01,1192
Portland,2021-01,1613
Charlotte,2021-01,1434
Sacramento,2021-01,1957
San Antonio,2021-01,1239
Orlando,2021-01,1547
Cincinnati,2021-01,1238
Cleveland,2021-01,1188
Kansas City,2021-01,1159
Las Vegas,2021-01,1462
Columbus,2021-01,1243
Indianapolis,2021-01,1245
San Jose,2021-01,2857
Austin,2021-01,1456
Virginia Beach,2021-01,1373
Nashville,2021-01,1480
Providence,2021-01,1581
Milwaukee,2021-01,1075
Jacksonville,2021-01,1388
Memphis,2021-01,1255
Oklahoma City,2021-01,1139
Louisville-Jefferson County,2021-01,1116
Hartford,2021-01,1434
Richmond,2021-01,1344
New Orleans,2021-01,1289
Buffalo,2021-01,1081
Raleigh,2021-01,1415
Birmingham,2021-01,1166
Salt Lake City,2021-01,1336
Rochester,2021-01,1219
Grand Rapids,2021-01,1231
Tucson,2021-01,1290
Urban Honolulu,2021-01,2337
Tulsa,2021-01,1103
Fresno,2021-01,1657
Worcester,2021-01,1529
Stamford,2021-01,2286
Albuquerque,2021-01,1213
Albany,2021-01,1252
Omaha,2021-01,1073
New Haven,2021-01,1650
Bakersfield,2021-01,1435
Knoxville,2021-01,1303
Greenville,2021-01,1260
Ventura,2021-01,2594
Allentown,2021-01,1510
El Paso,2021-01,1151
Baton Rouge,2021-01,1216
Dayton,2021-01,1090
McAllen,2021-01,938
Columbia,2021-01,1189
Greensboro,2021-01,1137
Akron,2021-01,1019
North Port-Sarasota-Bradenton,2021-01,1769
Little Rock,2021-01,1014
Stockton,2021-01,2089
Charleston,2021-01,1484
Syracuse,2021-01,1184
Colorado Springs,2021-01,1550
Winston-Salem,2021-01,1318
Wichita,2021-01,843
Springfield,2021-01,1401
Fort Myers,2021-01,1542
Boise City,2021-01,1459
Toledo,2021-01,1054
Madison,2021-01,1242
Lakeland,2021-01,1419
Ogden,2021-01,1389
Daytona Beach,2021-01,1464
Des Moines,2021-01,1091
Jackson,2021-01,1231
Youngstown,2021-01,832
Augusta,2021-01,1146
Scranton,2021-01,1053
Harrisburg,2021-01,1172
Melbourne,2021-01,1506
Chattanooga,2021-01,1195
Spokane,2021-01,1268
Provo,2021-01,1437
Durham,2021-01,1391
Port St. Lucie,2021-01,1751
Killeen,2021-01,1105
Fort Collins,2021-01,1565
Boulder,2021-01,1907
College Station,2021-01,1246
Gainesville,2021-01,1316
Sierra Vista,2021-01,959
Sebring,2021-01,1058
New York,2021-02,2484
Los Angeles-Long Beach-Anaheim,2021-02,2457
Chicago,2021-02,1656
Dallas-Fort Worth,2021-02,1459
Philadelphia,2021-02,1599
