Date,City,State,SizeRank,Avg_Rent,%Change_Rent
2018-08-31,Toledo,OH,86,982,-0.81
2018-08-31,Madison,WI,87,1164,-0.43
2018-08-31,Lakeland,FL,88,1246,0.16
2018-08-31,Ogden,UT,89,1217,0.41
2018-08-31,Daytona Beach,FL,90,1294,0.86
2018-08-31,Des Moines,IA,91,1063,-0.56
2018-08-31,Jackson,MS,92,1169,0.52
2018-08-31,Youngstown,OH,93,768,3.09
2018-08-31,Augusta,GA,94,1000,0.0
2018-08-31,Scranton,PA,95,936,0.97
2018-08-31,Harrisburg,PA,96,1069,0.56
2018-08-31,Melbourne,FL,97,1333,0.76
2018-08-31,Chattanooga,TN,98,1079,-0.19
2018-08-31,Spokane,WA,99,1126,1.62
2018-08-31,Provo,UT,100,1294,0.15
2018-08-31,Durham,NC,104,1286,0.08
2018-08-31,Port St. Lucie,FL,119,1510,-0.13
2018-08-31,Killeen,TX,128,949,0.42
2018-08-31,Fort Collins,CO,159,1513,0.07
2018-08-31,Boulder,CO,162,1813,-0.22
2018-08-31,College Station,TX,192,1106,-2.47
2018-08-31,Gainesville,GA,229,1145,0.17
2018-08-31,Sierra Vista,AZ,309,827,-0.24
2018-09-30,New York,NY,1,2683,-0.04
2018-09-30,Los Angeles-Long Beach-Anaheim,CA,2,2382,0.21
2018-09-30,Chicago,IL,3,1674,-0.42
2018-09-30,Dallas-Fort Worth,TX,4,1366,-0.29
2018-09-30,Philadelphia,PA,5,1518,0.07
2018-09-30,Houston,TX,6,1342,-0.15
2018-09-30,Washington,DC,7,1970,-0.3
2018-09-30,Miami-Fort Lauderdale,FL,8,1881,0.37
2018-09-30,Atlanta,GA,9,1373,0.37
2018-09-30,Boston,MA,10,2443,-0.81
2018-09-30,San Francisco,CA,11,3036,0.1
2018-09-30,Detroit,MI,12,1135,-0.09
2018-09-30,Riverside,CA,13,1811,0.56
2018-09-30,Phoenix,AZ,14,1253,0.32
2018-09-30,Seattle,WA,15,1852,-0.32
2018-09-30,Minneapolis-St Paul,MN,16,1428,-0.28
2018-09-30,San Diego,CA,17,2264,0.04
2018-09-30,St. Louis,MO,18,1025,0.2
2018-09-30,Tampa,FL,19,1375,0.07
2018-09-30,Baltimore,MD,20,1492,-0.33
2018-09-30,Denver,CO,21,1606,-0.25
2018-09-30,Pittsburgh,PA,22,1121,-0.71
2018-09-30,Portland,OR,23,1538,-0.13
2018-09-30,Charlotte,NC,24,1315,-0.08
2018-09-30,Sacramento,CA,25,1725,-0.29
2018-09-30,San Antonio,TX,26,1168,0.0
2018-09-30,Orlando,FL,27,1455,0.07
2018-09-30,Cleveland,OH,29,1101,0.09
2018-09-30,Kansas City,MO,30,1063,0.28
2018-09-30,Las Vegas,NV,31,1281,0.16
2018-09-30,Columbus,OH,32,1129,0.36
2018-09-30,Indianapolis,IN,33,1108,0.0
2018-09-30,Austin,TX,35,1406,0.07
2018-09-30,Virginia Beach,VA,36,1254,-0.32
2018-09-30,Nashville,TN,37,1384,-0.22
2018-09-30,Providence,RI,38,1379,0.0
2018-09-30,Jacksonville,FL,40,1258,0.08
2018-09-30,Memphis,TN,41,1079,-0.19
2018-09-30,Oklahoma City,OK,42,1068,0.09
2018-09-30,Louisville-Jefferson County,KY,43,1039,0.0
2018-09-30,Hartford,CT,44,1328,0.0
2018-09-30,New Orleans,LA,46,1219,0.33
2018-09-30,Buffalo,NY,47,982,-0.51
2018-09-30,Raleigh,NC,48,1324,-0.08
2018-09-30,Birmingham,AL,49,1051,-0.28
2018-09-30,Salt Lake City,UT,50,1250,0.56
2018-09-30,Grand Rapids,MI,52,1121,-0.27
2018-09-30,Tucson,AZ,53,1105,0.0
2018-09-30,Urban Honolulu,HI,54,2294,-0.17
2018-09-30,Tulsa,OK,55,1016,0.89
2018-09-30,Fresno,CA,56,1443,0.98
2018-09-30,Worcester,MA,57,1407,0.72
2018-09-30,Stamford,CT,58,2125,0.09
2018-09-30,Albuquerque,NM,59,1075,-0.46
2018-09-30,Albany,NY,60,1181,0.77
2018-09-30,Omaha,NE,61,991,0.2
2018-09-30,New Haven,CT,62,1535,0.72
2018-09-30,Bakersfield,CA,63,1219,0.33
2018-09-30,Knoxville,TN,64,1140,0.88
2018-09-30,Greenville,SC,65,1180,0.6
2018-09-30,Ventura,CA,66,2364,-0.55
2018-09-30,Allentown,PA,67,1347,0.52
2018-09-30,El Paso,TX,68,1041,-0.86
2018-09-30,Baton Rouge,LA,69,1197,0.42
2018-09-30,Dayton,OH,70,984,-0.1
2018-09-30,Greensboro,NC,73,1004,0.0
2018-09-30,Akron,OH,74,911,0.0
2018-09-30,North Port-Sarasota-Bradenton,FL,75,1574,1.09
2018-09-30,Little Rock,AR,76,927,0.54
2018-09-30,Stockton,CA,77,1800,0.28
2018-09-30,Charleston,SC,78,1397,0.58
2018-09-30,Syracuse,NY,79,1060,-1.4
2018-09-30,Colorado Springs,CO,80,1369,-0.07
2018-09-30,Winston-Salem,NC,81,1156,0.52
2018-09-30,Springfield,MA,83,1307,0.08
2018-09-30,Fort Myers,FL,84,1388,0.22
2018-09-30,Boise City,ID,85,1221,0.25
2018-09-30,Toledo,OH,86,986,0.41
2018-09-30,Madison,WI,87,1165,0.09
2018-09-30,Lakeland,FL,88,1253,0.56
2018-09-30,Ogden,UT,89,1210,-0.58
2018-09-30,Daytona Beach,FL,90,1294,0.0
2018-09-30,Des Moines,IA,91,1055,-0.75
2018-09-30,Jackson,MS,92,1172,0.26
2018-09-30,Youngstown,OH,93,764,-0.52
2018-09-30,Augusta,GA,94,1001,0.1
2018-09-30,Scranton,PA,95,932,-0.43
2018-09-30,Harrisburg,PA,96,1074,0.47
2018-09-30,Melbourne,FL,97,1334,0.08
2018-09-30,Chattanooga,TN,98,1075,-0.37
2018-09-30,Spokane,WA,99,1123,-0.27
2018-09-30,Provo,UT,100,1287,-0.54
2018-09-30,Durham,NC,104,1287,0.08
2018-09-30,Port St. Lucie,FL,119,1511,0.07
2018-09-30,Killeen,TX,128,951,0.21
2018-09-30,Fort Collins,CO,159,1502,-0.73
2018-09-30,Boulder,CO,162,1806,-0.39
2018-09-30,College Station,TX,192,1131,2.26
2018-09-30,Gainesville,GA,229,1156,0.96
2018-09-30,Sierra Vista,AZ,309,832,0.6
2018-10-31,New York,NY,1,2675,-0.3
2018-10-31,Los Angeles-Long Beach-Anaheim,CA,2,2387,0.21
2018-10-31,Chicago,IL,3,1663,-0.66
2018-10-31,Dallas-Fort Worth,TX,4,1370,0.29
2018-10-31,Philadelphia,PA,5,1519,0.07
2018-10-31,Houston,TX,6,1342,0.0
2018-10-31,Washington,DC,7,1965,-0.25
2018-10-31,Miami-Fort Lauderdale,FL,8,1888,0.37
2018-10-31,Atlanta,GA,9,1377,0.29
2018-10-31,Boston,MA,10,2438,-0.2
2018-10-31,San Francisco,CA,11,3032,-0.13
2018-10-31,Detroit,MI,12,1134,-0.09
2018-10-31,Riverside,CA,13,1817,0.33
2018-10-31,Phoenix,AZ,14,1259,0.48
2018-10-31,Seattle,WA,15,1847,-0.27
2018-10-31,Minneapolis-St Paul,MN,16,1428,0.0
2018-10-31,San Diego,CA,17,2262,-0.09
2018-10-31,St. Louis,MO,18,1023,-0.2
2018-10-31,Tampa,FL,19,1378,0.22
2018-10-31,Baltimore,MD,20,1490,-0.13
2018-10-31,Denver,CO,21,1601,-0.31
2018-10-31,Pittsburgh,PA,22,1122,0.09
2018-10-31,Portland,OR,23,1532,-0.39
