Date,City,State,Avg_List_Price,%Change_LP,Avg_Sale_Price,%Change_SP,HVI,%Change_HVI,Avg_Rent,%Change_Rent
2020-08-31,Sacramento,CA,547667.0,1.86,463000.0,2.32,445450.0,1.03,1885.0,0.91
2020-08-31,San Antonio,TX,299933.0,0.89,252467.0,1.47,240917.0,0.66,1226.0,0.66
2020-08-31,Orlando,FL,328333.0,1.04,281646.0,1.14,266872.0,0.38,1525.0,-0.07
2020-08-31,Cincinnati,OH,334363.0,0.36,215333.0,4.03,199121.0,0.89,1211.0,0.08
2020-08-31,Cleveland,OH,220967.0,1.24,172667.0,1.97,168057.0,-7.94,1177.0,1.47
2020-08-31,Cleveland,OH,220967.0,1.24,172667.0,1.97,183805.0,9.37,1177.0,1.47
2020-08-31,Kansas City,MO,361617.0,-0.91,255000.0,2.14,218166.0,1.02,1148.0,0.26
2020-08-31,Las Vegas,NV,341333.0,1.79,323333.0,1.01,300236.0,91.22,1404.0,1.3
2020-08-31,Las Vegas,NV,341333.0,1.79,323333.0,1.01,157901.0,-47.41,1404.0,1.3
2020-08-31,Columbus,OH,341600.0,-0.97,238184.0,1.46,226880.0,23.49,1223.0,0.49
2020-08-31,Columbus,OH,341600.0,-0.97,238184.0,1.46,130149.0,-42.64,1223.0,0.49
2020-08-31,Columbus,OH,341600.0,-0.97,238184.0,1.46,183896.0,41.3,1223.0,0.49
2020-08-31,Indianapolis,IN,316163.0,1.61,225500.0,1.88,197766.0,1.03,1221.0,0.83
2020-08-31,San Jose,CA,1255000.0,1.37,1135333.0,0.77,1251558.0,2.07,3001.0,-1.38
2020-08-31,Austin,TX,383795.0,2.55,351142.0,2.08,352121.0,158.92,1450.0,-0.41
2020-08-31,Austin,TX,383795.0,2.55,351142.0,2.08,137974.0,-60.82,1450.0,-0.41
2020-08-31,Virginia Beach,VA,316612.0,1.03,276083.0,0.36,257139.0,0.57,1340.0,1.06
