Date,City,State,SizeRank,Avg_Rent,%Change_Rent
2021-05-31,Cleveland,OH,29,1237.0,1.73
2021-05-31,Kansas City,MO,30,1208.0,1.51
2021-05-31,Las Vegas,NV,31,1578.0,3.27
2021-05-31,Columbus,OH,32,1282.0,1.42
2021-05-31,Indianapolis,IN,33,1295.0,1.73
2021-05-31,Austin,TX,35,1576.0,2.87
2021-05-31,Virginia Beach,VA,36,1449.0,2.26
2021-05-31,Nashville,TN,37,1560.0,1.96
2021-05-31,Providence,RI,38,1695.0,2.73
2021-05-31,Jacksonville,FL,40,1484.0,2.27
2021-05-31,Memphis,TN,41,1340.0,2.6
2021-05-31,Oklahoma City,OK,42,1190.0,1.8
2021-05-31,Louisville-Jefferson County,KY,43,1156.0,1.05
2021-05-31,Hartford,CT,44,1487.0,1.64
2021-05-31,New Orleans,LA,46,1318.0,1.0
2021-05-31,Buffalo,NY,47,1118.0,0.99
2021-05-31,Raleigh,NC,48,1493.0,2.4
2021-05-31,Birmingham,AL,49,1195.0,1.19
2021-05-31,Salt Lake City,UT,50,1440.0,3.08
2021-05-31,Grand Rapids,MI,52,1298.0,1.49
2021-05-31,Tucson,AZ,53,1380.0,1.32
2021-05-31,Urban Honolulu,HI,54,2484.0,1.31
2021-05-31,Tulsa,OK,55,1150.0,1.05
2021-05-31,Fresno,CA,56,1798.0,2.04
2021-05-31,Worcester,MA,57,1616.0,2.15
2021-05-31,Stamford,CT,58,2418.0,1.81
2021-05-31,Albuquerque,NM,59,1295.0,1.81
2021-05-31,Albany,NY,60,1316.0,2.09
2021-05-31,Omaha,NE,61,1112.0,1.55
2021-05-31,New Haven,CT,62,1734.0,2.79
2021-05-31,Bakersfield,CA,63,1487.0,0.68
2021-05-31,Knoxville,TN,64,1381.0,3.21
2021-05-31,Greenville,SC,65,1319.0,1.85
2021-05-31,Ventura,CA,66,2700.0,0.78
2021-05-31,Allentown,PA,67,1590.0,1.86
2021-05-31,El Paso,TX,68,1210.0,1.68
2021-05-31,Baton Rouge,LA,69,1235.0,-0.24
2021-05-31,Dayton,OH,70,1120.0,0.09
2021-05-31,Greensboro,NC,73,1185.0,0.59
2021-05-31,Akron,OH,74,1054.0,0.67
2021-05-31,North Port-Sarasota-Bradenton,FL,75,1846.0,2.33
2021-05-31,Little Rock,AR,76,1050.0,0.57
2021-05-31,Stockton,CA,77,2243.0,2.98
2021-05-31,Charleston,SC,78,1559.0,2.03
2021-05-31,Syracuse,NY,79,1217.0,0.5
2021-05-31,Colorado Springs,CO,80,1653.0,2.04
2021-05-31,Winston-Salem,NC,81,1397.0,2.12
2021-05-31,Springfield,MA,83,1457.0,0.21
2021-05-31,Fort Myers,FL,84,1627.0,2.2
2021-05-31,Boise City,ID,85,1618.0,3.06
2021-05-31,Toledo,OH,86,1142.0,4.1
2021-05-31,Madison,WI,87,1266.0,0.32
2021-05-31,Lakeland,FL,88,1499.0,2.18
2021-05-31,Ogden,UT,89,1485.0,2.56
2021-05-31,Daytona Beach,FL,90,1536.0,0.66
2021-05-31,Des Moines,IA,91,1119.0,0.81
2021-05-31,Jackson,MS,92,1282.0,2.07
2021-05-31,Youngstown,OH,93,866.0,-0.23
2021-05-31,Augusta,GA,94,1179.0,0.68
2021-05-31,Scranton,PA,95,1104.0,2.51
2021-05-31,Harrisburg,PA,96,1225.0,1.74
2021-05-31,Melbourne,FL,97,1594.0,2.11
2021-05-31,Chattanooga,TN,98,1307.0,3.4
2021-05-31,Spokane,WA,99,1434.0,5.05
2021-05-31,Provo,UT,100,1506.0,1.62
2021-05-31,Durham,NC,104,1436.0,2.79
2021-05-31,Port St. Lucie,FL,119,1850.0,1.43
2021-05-31,Killeen,TX,128,1183.0,2.25
2021-05-31,Fort Collins,CO,159,1660.0,1.22
2021-05-31,Boulder,CO,162,1986.0,1.22
2021-05-31,College Station,TX,192,1218.0,-0.98
2021-05-31,Gainesville,GA,229,1436.0,4.13
2021-05-31,Sierra Vista,AZ,309,1045.0,5.88
2021-06-30,New York,NY,1,2644.0,1.97
2021-06-30,Los Angeles-Long Beach-Anaheim,CA,2,2566.0,1.66
2021-06-30,Chicago,IL,3,1766.0,1.55
2021-06-30,Dallas-Fort Worth,TX,4,1566.0,2.49
2021-06-30,Philadelphia,PA,5,1672.0,1.33
2021-06-30,Houston,TX,6,1446.0,2.26
2021-06-30,Washington,DC,7,2048.0,1.99
2021-06-30,Miami-Fort Lauderdale,FL,8,2219.0,2.73
2021-06-30,Atlanta,GA,9,1693.0,2.67
2021-06-30,Boston,MA,10,2542.0,1.8
2021-06-30,San Francisco,CA,11,2999.0,1.9
2021-06-30,Detroit,MI,12,1322.0,1.3
2021-06-30,Riverside,CA,13,2277.0,2.34
2021-06-30,Phoenix,AZ,14,1680.0,3.32
2021-06-30,Seattle,WA,15,2022.0,2.74
2021-06-30,Minneapolis-St Paul,MN,16,1562.0,0.97
2021-06-30,San Diego,CA,17,2581.0,1.73
2021-06-30,St. Louis,MO,18,1155.0,0.79
2021-06-30,Tampa,FL,19,1723.0,3.55
2021-06-30,Baltimore,MD,20,1651.0,1.48
2021-06-30,Denver,CO,21,1782.0,2.3
2021-06-30,Pittsburgh,PA,22,1246.0,1.22
2021-06-30,Portland,OR,23,1713.0,1.84
2021-06-30,Charlotte,NC,24,1550.0,2.31
2021-06-30,Sacramento,CA,25,2082.0,2.01
2021-06-30,San Antonio,TX,26,1314.0,1.94
2021-06-30,Orlando,FL,27,1685.0,2.74
2021-06-30,Cleveland,OH,29,1251.0,1.13
2021-06-30,Kansas City,MO,30,1226.0,1.49
2021-06-30,Las Vegas,NV,31,1637.0,3.74
2021-06-30,Columbus,OH,32,1296.0,1.09
2021-06-30,Indianapolis,IN,33,1321.0,2.01
2021-06-30,Austin,TX,35,1629.0,3.36
2021-06-30,Virginia Beach,VA,36,1476.0,1.86
2021-06-30,Nashville,TN,37,1597.0,2.37
2021-06-30,Providence,RI,38,1698.0,0.18
2021-06-30,Jacksonville,FL,40,1530.0,3.1
2021-06-30,Memphis,TN,41,1361.0,1.57
2021-06-30,Oklahoma City,OK,42,1219.0,2.44
2021-06-30,Louisville-Jefferson County,KY,43,1162.0,0.52
2021-06-30,Hartford,CT,44,1509.0,1.48
2021-06-30,New Orleans,LA,46,1313.0,-0.38
2021-06-30,Buffalo,NY,47,1130.0,1.07
2021-06-30,Raleigh,NC,48,1532.0,2.61
2021-06-30,Birmingham,AL,49,1207.0,1.0
2021-06-30,Salt Lake City,UT,50,1468.0,1.94
2021-06-30,Grand Rapids,MI,52,1322.0,1.85
2021-06-30,Tucson,AZ,53,1401.0,1.52
2021-06-30,Urban Honolulu,HI,54,2457.0,-1.09
2021-06-30,Tulsa,OK,55,1161.0,0.96
2021-06-30,Fresno,CA,56,1839.0,2.28
2021-06-30,Worcester,MA,57,1632.0,0.99
2021-06-30,Stamford,CT,58,2454.0,1.49
2021-06-30,Albuquerque,NM,59,1329.0,2.63
2021-06-30,Albany,NY,60,1326.0,0.76
2021-06-30,Omaha,NE,61,1137.0,2.25
2021-06-30,New Haven,CT,62,1770.0,2.08
2021-06-30,Bakersfield,CA,63,1502.0,1.01
2021-06-30,Knoxville,TN,64,1418.0,2.68
2021-06-30,Greenville,SC,65,1349.0,2.27
2021-06-30,Ventura,CA,66,2751.0,1.89
2021-06-30,Allentown,PA,67,1634.0,2.77
2021-06-30,El Paso,TX,68,1199.0,-0.91
2021-06-30,Baton Rouge,LA,69,1253.0,1.46
2021-06-30,Dayton,OH,70,1140.0,1.79
2021-06-30,Greensboro,NC,73,1208.0,1.94
2021-06-30,Akron,OH,74,1068.0,1.33
2021-06-30,North Port-Sarasota-Bradenton,FL,75,1927.0,4.39
2021-06-30,Little Rock,AR,76,1067.0,1.62
2021-06-30,Stockton,CA,77,2293.0,2.23
2021-06-30,Charleston,SC,78,1598.0,2.5
2021-06-30,Syracuse,NY,79,1246.0,2.38
2021-06-30,Colorado Springs,CO,80,1687.0,2.06
2021-06-30,Winston-Salem,NC,81,1427.0,2.15
2021-06-30,Springfield,MA,83,1450.0,-0.48
2021-06-30,Fort Myers,FL,84,1674.0,2.89
2021-06-30,Boise City,ID,85,1663.0,2.78
2021-06-30,Toledo,OH,86,1157.0,1.31
2021-06-30,Madison,WI,87,1270.0,0.32
2021-06-30,Lakeland,FL,88,1542.0,2.87
2021-06-30,Ogden,UT,89,1514.0,1.95
2021-06-30,Daytona Beach,FL,90,1560.0,1.56
2021-06-30,Des Moines,IA,91,1126.0,0.63
2021-06-30,Jackson,MS,92,1307.0,1.95
2021-06-30,Youngstown,OH,93,888.0,2.54
2021-06-30,Augusta,GA,94,1204.0,2.12
2021-06-30,Scranton,PA,95,1122.0,1.63
2021-06-30,Harrisburg,PA,96,1258.0,2.69
