Date,City,State,Avg_List_Price,%Change_LP
2020-11-30,Grand Rapids,MI,319496.0,0.11
2020-11-30,Tucson,AZ,319844.0,-1.08
2020-11-30,Urban Honolulu,HI,591000.0,-0.06
2020-11-30,Tulsa,OK,274702.0,0.24
2020-11-30,Fresno,CA,388498.0,0.09
2020-11-30,Worcester,MA,385387.0,0.75
2020-11-30,Stamford,CT,763277.0,-2.1
2020-11-30,Albuquerque,NM,332113.0,-1.97
2020-11-30,Albany,NY,296792.0,-2.28
2020-11-30,Omaha,NE,321478.0,-0.98
2020-11-30,New Haven,CT,335953.0,-1.24
2020-11-30,Bakersfield,CA,307667.0,1.1
2020-11-30,Knoxville,TN,316267.0,-4.54
2020-11-30,Greenville,SC,284345.0,-0.4
2020-11-30,Ventura,CA,864333.0,-0.8
2020-11-30,Allentown,PA,321049.0,0.05
2020-11-30,El Paso,TX,219193.0,2.65
2020-11-30,Baton Rouge,LA,272100.0,0.15
2020-11-30,Dayton,OH,216172.0,-0.47
2020-11-30,McAllen,TX,230663.0,1.47
2020-11-30,Columbia,SC,240526.0,-0.22
2020-11-30,Greensboro,NC,270463.0,-3.8
2020-11-30,Akron,OH,174283.0,-3.87
2020-11-30,North Port-Sarasota-Bradenton,FL,381993.0,-0.09
2020-11-30,Little Rock,AR,210083.0,1.64
2020-11-30,Stockton,CA,463842.0,0.09
2020-11-30,Charleston,SC,405131.0,0.44
2020-11-30,Syracuse,NY,189109.0,-0.16
2020-11-30,Colorado Springs,CO,466077.0,-1.52
2020-11-30,Winston-Salem,NC,289461.0,-2.6
2020-11-30,Wichita,KS,230833.0,-4.11
2020-11-30,Springfield,MA,315820.0,-1.65
2020-11-30,Fort Myers,FL,270837.0,0.15
2020-11-30,Boise City,ID,443293.0,2.7
2020-11-30,Toledo,OH,194633.0,-5.78
2020-11-30,Madison,WI,343300.0,0.48
2020-11-30,Lakeland,FL,253464.0,0.53
2020-11-30,Ogden,UT,451942.0,1.37
2020-11-30,Daytona Beach,FL,292948.0,0.69
2020-11-30,Des Moines,IA,270390.0,-0.21
2020-11-30,Provo,UT,486834.0,1.59
2020-11-30,Durham,NC,425348.0,-0.19
2020-11-30,Fort Collins,CO,453537.0,-0.7
2020-12-31,New York,NY,658000.0,0.82
2020-12-31,Los Angeles-Long Beach-Anaheim,CA,991267.0,1.05
2020-12-31,Chicago,IL,340942.0,-1.54
2020-12-31,Dallas-Fort Worth,TX,354593.0,-0.83
2020-12-31,Philadelphia,PA,333333.0,-0.99
2020-12-31,Houston,TX,336120.0,-0.37
2020-12-31,Washington,DC,527141.0,-1.14
2020-12-31,Miami-Fort Lauderdale,FL,401143.0,-0.31
2020-12-31,Atlanta,GA,351605.0,-0.86
2020-12-31,Boston,MA,666998.0,0.46
2020-12-31,San Francisco,CA,995824.0,-0.35
2020-12-31,Detroit,MI,268267.0,-1.84
2020-12-31,Riverside,CA,490000.0,1.03
2020-12-31,Phoenix,AZ,399600.0,-0.01
2020-12-31,Seattle,WA,636650.0,-0.52
2020-12-31,Minneapolis-St Paul,MN,369446.0,-0.01
2020-12-31,San Diego,CA,816633.0,-0.0
2020-12-31,St. Louis,MO,249867.0,-1.32
2020-12-31,Tampa,FL,302359.0,-0.21
2020-12-31,Baltimore,MD,346600.0,-1.43
2020-12-31,Denver,CO,518333.0,-0.38
2020-12-31,Pittsburgh,PA,234600.0,0.0
2020-12-31,Portland,OR,513872.0,1.35
2020-12-31,Charlotte,NC,370962.0,0.13
2020-12-31,Sacramento,CA,580133.0,0.81
2020-12-31,San Antonio,TX,291443.0,-1.09
2020-12-31,Orlando,FL,331500.0,-0.19
2020-12-31,Cincinnati,OH,310567.0,-0.76
2020-12-31,Cleveland,OH,193133.0,-1.76
2020-12-31,Kansas City,MO,339933.0,-0.5
2020-12-31,Las Vegas,NV,347333.0,0.0
2020-12-31,Columbus,OH,324960.0,1.14
2020-12-31,Indianapolis,IN,279600.0,-2.79
2020-12-31,San Jose,CA,1231333.0,-1.36
2020-12-31,Austin,TX,401800.0,0.13
2020-12-31,Virginia Beach,VA,307633.0,-1.42
2020-12-31,Nashville,TN,379600.0,-0.44
2020-12-31,Providence,RI,396422.0,-0.96
2020-12-31,Milwaukee,WI,233267.0,-2.78
2020-12-31,Jacksonville,FL,306997.0,-0.86
2020-12-31,Memphis,TN,257993.0,0.52
2020-12-31,Oklahoma City,OK,291920.0,-0.35
2020-12-31,Louisville-Jefferson County,KY,259663.0,-2.49
2020-12-31,Hartford,CT,333065.0,-1.02
2020-12-31,Richmond,VA,387660.0,1.08
2020-12-31,New Orleans,LA,299000.0,0.0
2020-12-31,Buffalo,NY,224744.0,-0.23
2020-12-31,Raleigh,NC,390446.0,-0.04
2020-12-31,Birmingham,AL,276267.0,1.0
2020-12-31,Salt Lake City,UT,507889.0,2.14
2020-12-31,Rochester,NY,252785.0,2.9
2020-12-31,Grand Rapids,MI,322591.0,0.97
2020-12-31,Tucson,AZ,321511.0,0.52
2020-12-31,Urban Honolulu,HI,599333.0,1.41
2020-12-31,Tulsa,OK,274286.0,-0.15
2020-12-31,Fresno,CA,388498.0,0.0
2020-12-31,Worcester,MA,391300.0,1.53
2020-12-31,Stamford,CT,754377.0,-1.17
2020-12-31,Albuquerque,NM,327993.0,-1.24
2020-12-31,Albany,NY,295385.0,-0.47
2020-12-31,Omaha,NE,321197.0,-0.09
2020-12-31,New Haven,CT,327230.0,-2.6
2020-12-31,Bakersfield,CA,304667.0,-0.98
2020-12-31,Knoxville,TN,306267.0,-3.16
2020-12-31,Greenville,SC,281397.0,-1.04
2020-12-31,Ventura,CA,863663.0,-0.08
2020-12-31,Allentown,PA,322159.0,0.35
2020-12-31,El Paso,TX,223072.0,1.77
2020-12-31,Baton Rouge,LA,271233.0,-0.32
2020-12-31,Dayton,OH,213667.0,-1.16
2020-12-31,McAllen,TX,229330.0,-0.58
